h,Model,MAE_mean,MAE_std,Bias_mean,Bias_std,PM_mean,PM_std,n_seeds
7,Autoformer,8513.0525,295.3894,3157.2935,152.7314,0.4339,0.0312,3
7,Autoformer_NoDecomp,8682.6615,0.0,2397.5158,0.0,0.4585,0.0,3
7,TCN,3909.5383,68.977,280.8253,183.6206,0.1046,0.0046,3
14,Autoformer,9242.9416,47.6609,3368.8345,166.2916,0.5154,0.0057,3
14,Autoformer_NoDecomp,9321.2587,0.0,2573.2661,0.0,0.5251,0.0,3
14,TCN,4510.0772,71.4967,583.3673,418.1031,0.1556,0.0043,3
30,Autoformer,10249.2371,38.505,3327.999,70.4489,0.6094,0.0052,3
30,Autoformer_NoDecomp,10549.7265,0.0,2492.2609,0.0,0.6531,0.0,3
30,TCN,6105.9925,84.8744,2416.3063,561.6626,0.2811,0.0119,3
