h,Model,MAE_mean,MAE_std,Bias_mean,Bias_std,PM_mean,PM_std,n_seeds
7,Autoformer,0.1799,0.0015,0.0401,0.0015,2.6655,0.0277,3
7,Autoformer_NoDecomp,0.1071,0.0,0.0832,0.0,0.9877,0.0,3
7,TCN,0.0871,0.003,0.0441,0.0092,0.6769,0.046,3
14,Autoformer,0.157,0.0113,0.0444,0.0064,1.8463,0.2387,3
14,Autoformer_NoDecomp,0.121,0.0,0.0993,0.0,1.2394,0.0,3
14,TCN,0.1102,0.0042,0.0551,0.0107,1.1447,0.0743,3
30,Autoformer,0.1558,0.0002,0.1168,0.0003,2.0765,0.0122,3
30,Autoformer_NoDecomp,0.1522,0.0,0.1349,0.0,2.1033,0.0,3
30,TCN,0.1817,0.0086,0.1156,0.0102,3.078,0.2364,3
